coefficient_code,current_value,current_unit,evidence_grade,source_ids,initial_policy,replacement_or_condition
oxygenKgPerNm3,1.429,kg/Nm3,A-conditional,S41|S42|S43,calculate-from-reference-condition,"Require normal temperature, pressure, oxygen purity"
oxygenEfficiency,0.95,fraction,D-to-C,S06|S13|S40,disable-until-site,"Split into unused oxygen, elemental oxidation, post-combustion and oxygen-source terms"
otherOxygenKg,19175,kg,D,S12|S13,remove-fixed-value,"Element-wise oxygen balance; never fixed absolute heat-independent mass"
carbonRemovalKgPerKgO,0.75,kg-C/kg-O2,A-theoretical-limit,S12|S13|S43,derive-from-CO-CO2,"CO-only theoretical value about 0.7507; calculate from PCR and oxygen allocation"
liquidSteelYield,0.96,fraction,D-to-C,S06|S12,disable-until-site,"Calculate/validate against steel, slag and iron-loss balance"
carbonAfterSampleKgPerNm3,0.108,kg-C/Nm3-O2,D-to-C,S07|S13|S40,disable-until-site,"Stage/equipment/carbon-range-specific semi-dynamic coefficient"
heatPerNm3OxygenKj,3750,kJ/Nm3,D,S12|S42|S44,remove-lumped-value,"Element-wise reaction enthalpy and PCR"
scrapHeatKjPerKg,620,kJ/kg,D,S12|S42|S44,remove-lumped-value,"Temperature/composition-specific sensible heat plus latent heat"
fluxHeatKjPerKg,240,kJ/kg,D,S12|S42|S44,remove-lumped-value,"Material-specific heating, decomposition and dissolution terms"
fixedHeatLossKj,7000000,kJ,D,S12|S44,replace-with-scenario,"Literature sensitivity 1.3-5.9% of total heat input under cited conditions; site calibration required"
equivalentHeatCapacityKjPerKgC,0.82,kJ/kg-C,D,S12|S42|S44,remove-lumped-value,"Temperature-dependent enthalpy integration"
tempAfterSampleCPerNm3,0.025,C/Nm3-O2,D-to-C,S07|S13,disable-until-site,"Semi-dynamic site coefficient or component heat balance"
tempLossCPerMinute,0.5,C/min,D-to-C,S06|S44,disable-until-site,"Equipment/state/time-specific loss coefficient"
carbonUncertainty,0.006,percentage-point,D-to-C,S13,remove-statistical-claim,"Estimate from time-separated validation residuals; scenario range is not confidence interval"
temperatureUncertainty,10,C,D-to-C,S12|S44,remove-statistical-claim,"Estimate from time-separated validation residuals; scenario range is not confidence interval"
